TARGET_DU:Rotation-ActVel      2020-06-09 13:45:19.850998 1.8847  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:20.351062 1.8954  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:20.851067 1.9526  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:21.352162 1.9848  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:21.851158 2.0242  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:22.351201 2.085  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:22.851235 2.1386  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:23.350451 2.1815  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:23.850496 2.1958  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:24.350502 2.1708  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:24.850343 2.178  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:25.350652 2.2173  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:25.850498 2.1994  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:26.350486 2.2638  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:26.850565 2.1744  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:27.350851 2.2423  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:27.850647 2.2495  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:28.350713 2.2924  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:28.850699 2.3031  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:29.351817 2.2602  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:29.850647 2.3139  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:30.350879 2.4033  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:30.850818 2.4247  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:31.350939 2.4176  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:31.850989 2.5177  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:32.351005 2.4462  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:32.851041 2.5213  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:33.351090 2.5535  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:33.851110 2.5392  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:34.351179 2.5356  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:34.851141 2.5105  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:35.352246 2.4712  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:35.851344 2.5499  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:36.351365 2.5249  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:36.851355 2.5713  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:37.351438 2.6572  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:37.851698 2.7144  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:38.350631 2.6608  
