TARGET_DU:Rotation-ActVel      2020-06-09 13:55:36.356912 7.4852  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:36.856912 7.4422  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:37.356937 7.4565  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:37.856992 7.4494  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:38.357053 7.3957  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:38.856931 7.4065  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:39.357124 7.4279  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:39.857185 7.4351  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:40.357193 7.4029  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:40.858243 7.4136  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:41.357259 7.3564  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:41.857314 7.3636  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:42.357406 7.2169  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:42.857404 7.2992  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:43.357456 7.174  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:43.857490 7.1955  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:44.357532 7.1061  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:44.857537 7.1347  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:45.357578 7.149  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:45.857667 7.0453  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:46.357697 7.0918  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:46.857822 6.9737  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:47.357795 6.9451  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:47.857133 7.1347  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:48.357144 7.0059  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:48.857084 6.9129  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:49.357169 7.0488  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:49.856947 6.9737  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:50.357020 6.87  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:50.857019 6.9737  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:51.357093 6.7413  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:51.857182 6.7663  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:52.357167 6.845  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:52.857208 6.7341  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:53.357266 6.6841  
